city,cause,year,adthnum,adrate
'lasv','death',1995,7196,0.005230544
'lasv','death',1996,7495,0.005447878
'lasv','death',1997,7648,0.005559089
'lasv','death',1998,8481,0.00616457
'lasv','death',1999,8931,0.006491661
'lasv','death',2000,9067,0.006590515
'lex','death',1987,1698,0.006517934
'lex','death',1988,1763,0.006767443
'lex','death',1989,1674,0.006425808
'lex','death',1990,1689,0.006483387
'lex','death',1991,1788,0.006863407
'lex','death',1992,1820,0.006986242
'lex','death',1993,1910,0.007331716
'lex','death',1994,1845,0.007082207
'lex','death',1995,1911,0.007335555
'lex','death',1996,1914,0.00734707
'lex','death',1997,1953,0.007496776
'lex','death',1998,1938,0.007439197
'lex','death',1999,1960,0.007523646
'lex','death',2000,2039,0.007826895
'linc','death',1987,1610,0.006432513
'linc','death',1988,1695,0.006772117
'linc','death',1989,1661,0.006636275
'linc','death',1990,1678,0.006704196
'linc','death',1991,1704,0.006808075
'linc','death',1992,1683,0.006724173
'linc','death',1993,1674,0.006688215
'linc','death',1994,1750,0.006991861
'linc','death',1995,1746,0.00697588
'linc','death',1996,1833,0.007323475
'linc','death',1997,1722,0.006879992
'linc','death',1998,1727,0.006899968
'linc','death',1999,1838,0.007343452
'linc','death',2000,1808,0.007223592
'lkch','death',1987,2288,0.012463435
'lkch','death',1988,2211,0.012043992
'lkch','death',1989,2239,0.012196517
'lkch','death',1990,2222,0.012103913
'lkch','death',1991,2213,0.012054887
'lkch','death',1992,2223,0.01210936
'lkch','death',1993,2324,0.012659538
'lkch','death',1994,2281,0.012425304
'lkch','death',1995,2286,0.01245254
'lkch','death',1996,2385,0.012991824
'lkch','death',1997,2339,0.012741248
'lkch','death',1998,2386,0.012997271
'lkch','death',1999,2311,0.012588723
'lkch','death',2000,2407,0.013111664
'loui','death',1987,5992,0.008638935
'loui','death',1988,6190,0.008924401
'loui','death',1989,6083,0.008770134
